element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
H,-1.7056963749993241,-1.600894024526589,1.2898603712937091,-0.28584904690106905,-0.20540891152409102,-0.6363305053660151,-0.8383931302573031,-0.6858765698107451,-1.284546134311118,0.723896997880748,0.8087484820066011,1.6329382371626302,0.12984313124900201,-0.236247034542501,-1.604417658572757,-1.6125290904116971,-1.619171291876759,1.690221602874415,1.652249325373404,-1.7056963749993241,-1.705425221467125,-1.7041669093841811,-1.702298931980698,-1.699730292017322,-1.696632813505842,-1.693038564207175,-1.6890684301350012,-1.6848085446449832,-1.6803385880317312,-1.675705846638659,-1.6710153105222552,-1.666303378844469,-1.661579530728247,-1.6568762552367962,-1.652263840177989,-1.6476492725464662,-1.6431659919031691,-1.638713331159179,-1.634335127542109,-1.6300223730596142,-1.621553405892438,-1.6134743422534061,-1.609458640488586,-1.605507296345202,-1.597792212352999,-1.590257949317132,-1.582886337692132,-1.575693878223161,-1.572210788362147,-1.568718508506819,-1.561930679769664,-1.5553289302093112,-1.5489045928773182,-1.542751003784963,-1.5397374792643341,-1.536754669939226,-1.5310510200041811,-1.525494577284694,-1.512701764172824,-1.50073335414156,-1.490991249872901,-1.481860993873352,-1.466393510992863,-1.454018110243499,-1.444187273967534,-1.436642871597898,-1.4311762153818441,-1.4271120434156621,-1.424320691064777,-1.422143404431801,-1.417230500316327,-1.41479231432147,-1.4114682307903181,-1.406964742961566,-1.401044598202956,-1.361574952067659,-1.319922961640661,-1.302379724129668,-1.307711825831392,-1.3152950392652571,-1.283013441189089,-1.511281041120315,-0.7282497269853551,2.25226643220394,-0.51096314088158,-0.6223084040819731,-0.44780316079175003,-1.195931751171123,-1.9677556434531462,-0.5701889578367061,-0.8759960598723291,-0.680729363320218,-2.777747472268995,-3.014000908150648,-0.10152243289864801,-1.4906996541503061,-0.021241743975955,-1.141638773027129,-0.42397149045293403,-0.13920834876923502,-3.197464210316367,-1.8476032202711172,-2.334614395982448,-0.5212082098994131,0.19585357030588002,-1.28647639419574,1.1740456807905,-0.8017107639826191,-0.8065812553070221,-0.857407332773909,-0.14640204879039,-0.15959550978945802,-1.463566973912041,-0.10101729711561201,0.24817452875322402,1.264015086713665,0.558997763475386,-1.8341724175123382,-0.942545052792878,-1.182236334905097,-1.063158127740069,-1.505897290802131,-0.9263892871979751,-1.308133786910176,-1.60191708410428,-1.388720792524512,0.056536528659630006,-0.8493528164601001,-0.8221197353206221,0.38144547391342604,2.49777362334205,0.539393760304807,-1.837302248140972,-1.837303066166104,-0.216545013446606,-1.181206162781401
He,-1.670527377576658,-1.5606721485065211,1.486857228000384,-0.28610601197206603,-0.21714642847422003,-1.131254231761806,-0.8383931302573031,-0.9250790745846,-1.3283028242039792,-0.253286304215021,3.1064210708495392,4.871571008577068,0.058097569402530004,-0.236152609632818,-1.860423770935769,-1.844945559702509,-1.818363127662205,4.076849903444147,3.550265729056193,-1.670527377576658,-1.670227691081306,-1.668835628145368,-1.666784823665843,-1.663993611826521,-1.660566060728061,-1.656609447048637,-1.6522846992008602,-1.6476100051137341,-1.642740470690575,-1.6377267580509631,-1.6326394505563822,-1.6275913857187891,-1.62255700797256,-1.617570612404054,-1.612704164321873,-1.607944084210272,-1.603309476356492,-1.598819402520023,-1.594441404935692,-1.590209131685163,-1.5819892501624722,-1.574382960154487,-1.570721631063819,-1.567134956779003,-1.560227112462865,-1.55368699781158,-1.5474176497086911,-1.541395426195768,-1.538500073664083,-1.535613322131444,-1.530090913960911,-1.524778598976036,-1.519614984795578,-1.514740907679869,-1.512340622132412,-1.509987589818935,-1.505485463059488,-1.501138757494771,-1.4910932032649251,-1.481557956560343,-1.474032905442783,-1.466790939472826,-1.454470684468318,-1.444472078598403,-1.436520393457256,-1.430324070398771,-1.425883613647619,-1.422840735137112,-1.420678092741454,-1.419001416157626,-1.417230500316327,-1.41479231432147,-1.4114682307903181,-1.406964742961566,-1.401044598202956,-1.361574952067659,-1.319922961640661,-1.302379724129668,-1.307711825831392,-1.3152950392652571,-1.283013441189089,-2.076569369478295,-0.9375414373799731,-0.43946662091784205,-0.51096314088158,-0.6223084040819731,-0.44780316079175003,-1.069227630506507,0.442745019776957,-0.5701889578367061,-0.8759960598723291,-0.680729363320218,-2.846236046308502,-2.624033985670199,-0.10152243289864801,-1.4906996541503061,-0.021241743975955,-1.141638773027129,-0.42397149045293403,-0.13920834876923502,-0.8242516461958761,-2.246504936964941,-1.5818433580148672,-0.5212082098994131,-0.593085248588986,-1.286461440515634,1.1740456807905,-0.8017107639826191,-0.8065812553070221,-0.857407332773909,-0.14640204879039,-0.15959550978945802,-1.463566973912041,-0.10101729711561201,0.24817452875322402,0.039041704832848,-0.30554020395118703,-1.068681151075406,-0.942545052792878,-1.182236334905097,-1.063158127740069,-1.569579587265373,-0.9646645805757671,-1.309936014888792,-1.612118408370872,-1.403156368022249,0.056536528659630006,-0.8493528164601001,-0.8221197353206221,0.38144547391342604,6.176939983979959,1.40395958964803,-1.041304497970491,-1.041304394642573,-0.216545013446606,-0.8404559945830951
Li,-1.635358380153992,-1.5212059649927832,-1.6979252887575371,-0.229974561863542,-0.217135748295012,-0.6363305053660151,-0.8383931302573031,-0.6858765698107451,-1.072677744210207,-1.230469606310792,-0.908329420408281,-0.7864589469422391,-0.01364799244394,-0.23543154668615102,0.26668583913926003,0.270921354124224,0.224959574911081,-0.8767913948313991,-0.9220717738745161,-1.635358380153992,-1.6354525310601171,-1.6351968633730851,-1.63494946760671,-1.634509074492163,-1.633748108910126,-1.63264670430234,-1.63112591592016,-1.629138252378823,-1.626658463468479,-1.623734462255496,-1.620357682143179,-1.616557714526353,-1.612411911988366,-1.608022217218344,-1.603375512774589,-1.598603985772919,-1.593680773590761,-1.588736321655182,-1.583733301794111,-1.578740966141144,-1.568870390550018,-1.5594163030168322,-1.5547811802828302,-1.550244197827742,-1.5415109319522329,-1.5332090731737371,-1.525388269281475,-1.5179479287299982,-1.514373310386544,-1.5108928554493959,-1.5042549370681821,-1.49804705914692,-1.492172006995699,-1.48662610093513,-1.483991750659998,-1.481457408612878,-1.476594748388513,-1.472000744778061,-1.461834043765309,-1.4527642285629891,-1.445961706518686,-1.439745573986166,-1.4298154567786692,-1.422411921435365,-1.4169175739707471,-1.413065255183245,-1.4106164932604282,-1.4093696859509142,-1.408810272397726,-1.408444335556396,-1.407850889373832,-1.40653608004677,-1.404084543577636,-1.4002892769672841,-1.3953650308835521,-1.358077732765065,-1.317719379925856,-1.300923824216535,-1.304937550125232,-1.3152950392652571,-1.283013441189089,-1.511281041120315,-0.7282497269853551,2.25226643220394,-0.51096314088158,-0.6223084040819731,-0.44780316079175003,-1.195931751171123,-1.9677556434531462,-0.5701889578367061,-0.8759960598723291,-0.680729363320218,-0.563283578324926,-0.200668110255975,-0.10152243289864801,-1.4906996541503061,-0.021241743975955,-1.141638773027129,-0.42397149045293403,-0.13920834876923502,-0.19972202405890402,0.21943294805142602,-0.553056272792507,-0.5212082098994131,-0.437614306689302,-1.196195643394312,1.1740456807905,-0.8017107639826191,-0.8065812553070221,-0.857407332773909,-0.14640204879039,-0.15959550978945802,-1.463566973912041,-0.10101729711561201,0.24817452875322402,-1.185931677047968,-1.170078171377761,-0.303189884638473,-0.942545052792878,-1.182236334905097,-1.063158127740069,0.7151738434163231,-0.752656449970156,-0.592380654633174,-0.588854441946137,-0.9027304529498251,0.056536528659630006,-0.8493528164601001,-0.8221197353206221,0.38144547391342604,-0.322381909121542,0.9185409525501871,-0.5949376735323451,-0.5949373564383941,-0.216545013446606,-0.583645767686725
Be,-1.6001893827313252,-1.493387524841943,0.46904013501589403,-0.286104272516201,-0.217125068115803,-1.131254231761806,-0.8383931302573031,-0.9250790745846,-0.8170526642164331,-0.28532510100504704,-0.08067316528743801,0.371669059578118,-0.19186527849179702,-0.23647594341445902,-0.956872786125137,-1.044643566389806,-1.034446870700126,0.48303170665600503,0.779598105289363,-1.6001893827313252,-1.600219803143912,-1.5998303213745522,-1.599399986674011,-1.59880791784032,-1.598074162350716,-1.597223519373031,-1.596186796861773,-1.595036555022066,-1.593723393883502,-1.5922703050434661,-1.5906051914887032,-1.588728762269663,-1.586612210964888,-1.5842854436442302,-1.581737686156615,-1.5789858710635012,-1.575962382025951,-1.57275483775478,-1.569361900209358,-1.5658087794638451,-1.5581594228917481,-1.550258235193224,-1.546125344106057,-1.541972056905458,-1.533546599820049,-1.525117354608231,-1.516752013223007,-1.508559494131028,-1.504503270863914,-1.500580613987489,-1.492887107235382,-1.485485245317448,-1.4784248704529561,-1.4717048347856871,-1.468442183098636,-1.465322362312823,-1.459314830368325,-1.4537060764883711,-1.441101505596919,-1.4299742991693392,-1.421551968323819,-1.4141803031281301,-1.403025895945739,-1.3954584203197982,-1.390606234037745,-1.387884360852396,-1.386799785456412,-1.387027458032341,-1.388012211003271,-1.389215367318442,-1.390163623025126,-1.390165960364176,-1.389015794164001,-1.386620465645658,-1.38266952746371,-1.350054700247351,-1.3123328468452211,-1.297138484442389,-1.299735783176184,-1.313898028605893,-1.281880675275707,-0.9459927127623341,-0.9375414373799731,-0.43946662091784205,-0.51096314088158,-0.6223084040819731,-0.44780316079175003,-1.069227630506507,0.442745019776957,-0.5701889578367061,-0.8759960598723291,-0.680729363320218,-1.293828368079671,-1.064166295748399,-1.397586595420857,-1.4906996541503061,-1.109398355835122,-1.522591267965321,-0.42397149045293403,-1.3027408160941891,-1.198969419478059,-0.777821343683133,-1.255642574895583,-1.842685593513476,-1.261915143741745,-0.9745908806458151,-0.33845019635085405,0.521164176529761,1.957251325360073,1.588190418082529,-0.14640204879039,-0.15959550978945802,0.827752158446137,-0.10101729711561201,1.487164305471702,1.107635506048028,1.124272588331223,-1.290319741600941,1.4528702089550891,0.18711654221519503,-0.173637966222722,1.005452212382813,-0.40049529342728,0.140232344804212,0.127652019617742,0.32010427361238103,3.151422350112948,-0.04527260003710001,0.163632405989377,-0.522370004949958,-0.322381909121542,0.429456423045846,-1.627738062639366,-1.627737000527528,-0.216545013446606,-1.104851775355594
B,-1.565020385308658,-1.469227257479994,0.633204182271457,0.314791388649512,2.346085901383955,-0.6363305053660151,-0.34043842258932905,-0.6858765698107451,-1.058607671997649,0.46758662356054603,0.49992152114061505,0.071086218191155,-0.37008256453965305,-0.23640476706208402,-0.956872786125137,-0.93501315634697,-0.995893612161008,0.17082742315124302,-0.79117409086191,-1.565020385308658,-1.564987075227708,-1.564428518616301,-1.5637443878877821,-1.56282257287682,-1.561757441979424,-1.560542919157185,-1.559294559346705,-1.558020182677551,-1.5567127471258022,-1.555438732777621,-1.554170522882972,-1.552878745289462,-1.551541336083196,-1.5501566415748251,-1.5487196788129092,-1.54717482450281,-1.545537259762102,-1.543780925546323,-1.54186703387214,-1.539822404348141,-1.535242933948472,-1.530246161060156,-1.527485300854095,-1.5246482015708311,-1.518591353927392,-1.512143481824432,-1.50543713229079,-1.498510566645699,-1.495014682144091,-1.491521261675159,-1.484422749091478,-1.477395437211268,-1.470474101183832,-1.463694470852829,-1.460350061204458,-1.457094557245907,-1.450702126749431,-1.444586545790774,-1.430355626658937,-1.417292806200291,-1.406970361560044,-1.397630154098981,-1.383080920710233,-1.372997169390159,-1.366385861516638,-1.362609156055888,-1.361252804008514,-1.361509129086128,-1.362984035426893,-1.364833538310841,-1.366714595668888,-1.367817188275764,-1.367768857490776,-1.366435127996281,-1.363793318431576,-1.336477260601988,-1.302783992747731,-1.290150164859351,-1.290719387131166,-1.310638337067376,-1.280181526405634,-0.38070438440435406,0.10891711459311701,-0.43946662091784205,2.827329379544744,-0.6223084040819731,-0.44780316079175003,-0.942523509841891,0.442745019776957,-0.038012597189113005,-0.8759960598723291,-0.680729363320218,-1.5677826642377,-1.537697558760374,-1.8550210057228131,-2.063783274052484,-1.6140506975669089,-1.779991602383018,-0.42397149045293403,-2.000860296489162,-1.698593117187636,-1.231118749017025,-0.277040225537728,-1.4934379992726161,-1.283863982598171,-0.871299094810263,-0.569465416778784,2.633317442894067,1.5596375838757721,1.245135484681388,-0.25614442793985004,5.459148128647852,2.6046935263973783,-0.101017297016617,-0.7253174386595871,1.368268140490756,1.390284270616323,-1.320119888226223,1.838339331535221,0.40541917479958905,-0.084685950070988,0.301316730375079,2.591095945487455,1.165890544016555,1.099509188228323,1.191102243919997,4.266823718246216,1.139437304633474,1.027137945784045,-0.5739454651763221,0.22491428742430103,-0.32879930483001,-1.742625120832298,-1.742624748644121,-0.216545013446606,-1.147819832593254
C,-1.529851387885992,-1.45311385815103,0.79736822952702,-0.28610877928821504,-0.21714108838461602,-0.14140677897022502,-0.34043842258932905,-0.9250790745846,-1.189477607558991,1.284575941706189,1.105222364437948,0.9433658363337151,0.66504099823463,-0.23633466372004702,-1.239232468878459,-1.198126140449777,-1.201510991036307,1.065813035864893,0.125109690226332,-1.529851387885992,-1.529719149781118,-1.529026715858049,-1.528018043865866,-1.526695133757491,-1.525155044358408,-1.523467131279856,-1.521751282346077,-1.519983674087322,-1.518306857732395,-1.516682294423509,-1.515197373267825,-1.513790176355167,-1.51251881332751,-1.51131116236549,-1.510205121594869,-1.509110992377365,-1.5080484580102782,-1.506995614723205,-1.505918401896831,-1.5048078989105491,-1.5022797234032539,-1.499634471390504,-1.49808973839238,-1.496453627013725,-1.4928842596562881,-1.488862839024235,-1.484469965175578,-1.479733697447759,-1.477277219813568,-1.474703634244292,-1.469413276801417,-1.463979420041392,-1.458368413780521,-1.4526998536900821,-1.449877903459052,-1.446996796481965,-1.441326272176963,-1.435745049565665,-1.422179414423515,-1.409022267307434,-1.39797730011983,-1.3875385998129142,-1.370201324155939,-1.357033637479451,-1.3477414020939151,-1.341672232679677,-1.338453904230309,-1.337414569566099,-1.338073363022235,-1.3394462730555041,-1.341255651682115,-1.342479089984444,-1.343056108452414,-1.34227629868364,-1.340406864763445,-1.317962570176493,-1.288583132807875,-1.2790853255195391,-1.2785819309167201,-1.304584624210132,-1.276216845708797,0.184583943953626,-0.1003745958015,-0.43946662091784205,2.159670875459479,-0.6223084040819731,-0.44780316079175003,-0.815819389177274,0.442745019776957,0.494163763458478,-0.8759960598723291,-0.680729363320218,-1.750418861676386,-1.816245360532124,-2.2743358818329398,-2.6846238622798433,-1.8979176397910391,-1.913839776280221,-0.42397149045293403,-2.320831725003525,-2.073310890469819,-1.5937566732841382,-0.829072320047287,-1.144190405031757,-1.410679495990854,-0.905054580377437,-0.10452912409364101,-0.55714564892991,1.162023842391472,0.9020805512802471,-0.36588680708931004,4.734501741325305,1.918856507188127,-0.101017297033116,-0.41556999448144305,2.3482468459954102,1.456787191187598,-1.543620987915838,1.326216068678759,0.10773376672996,-0.27148518398963,0.895247484806144,6.503997684852746,2.181780569903066,1.116659608850863,2.821460119813061,5.382225086379483,1.881665196716244,0.7100376703382121,-0.294568508593818,1.292213694336538,-0.9857064688451481,-2.016572037173631,-2.016571837758396,-0.216545013446606,-1.239594811989371
N,-1.494682390463326,-1.4263052017697562,0.9615322767825821,-0.28460138264866003,-0.212030622633354,0.35351694742556405,-0.8383931302573031,-0.207471560263037,-1.243493439036156,2.069526463061808,1.759935521473839,1.906999063133097,-0.739075340002709,-0.23660470465493502,-1.4651202150811171,-1.461239124552583,-1.445681628450725,1.9261092837446792,0.5614353002683531,-1.494682390463326,-1.494486421864913,-1.493589652340078,-1.492256327226106,-1.490532171099206,-1.48848122742496,-1.4862117126473071,-1.483846316742361,-1.481473530811582,-1.479166630109668,-1.476963423025266,-1.4749549831479691,-1.4730823314438242,-1.471444473406481,-1.469934783227413,-1.468632624658011,-1.467490888461965,-1.466495080910624,-1.465587231250595,-1.464776742458125,-1.464018643447245,-1.462549506159206,-1.461263863148073,-1.4605525478436001,-1.459770363342653,-1.458062429722795,-1.456089118577356,-1.453850511877374,-1.451238147207669,-1.449812762011468,-1.44834477405895,-1.445102852829973,-1.4416193914249331,-1.437952890108835,-1.434009004513412,-1.432001189732045,-1.429953485986212,-1.4257361884111162,-1.421454077679798,-1.4105575127460241,-1.399220147138122,-1.389176947139049,-1.3791289712411912,-1.361148807720635,-1.346284324534552,-1.334585732127414,-1.326582558174299,-1.3205404829760061,-1.317481797599529,-1.3163352762540201,-1.316321239357572,-1.317002657673662,-1.317568038293539,-1.3177406094375081,-1.316845952038755,-1.31501585792376,-1.295744941665899,-1.270464794263921,-1.264235146405582,-1.262629845606305,-1.296202560253946,-1.270553016141887,-0.38070438440435406,-0.309666306196118,-0.43946662091784205,1.492012371374214,-0.6223084040819731,-0.44780316079175003,-0.689115268512658,0.442745019776957,1.026340124106071,-0.8759960598723291,-0.680729363320218,-1.864566485075564,-1.9276644812408241,-2.541172621175748,-2.9711656722309323,-2.0871622679404602,-1.996207883293884,-0.42397149045293403,-2.466273283419144,-2.198216814897213,-1.79320753163105,-1.205457839031077,-0.794942810790897,-0.37359686002472703,-1.28628042672428,0.3604071685915,-0.616508272310885,0.7644101009071721,0.5590256178791051,-0.47562918623877004,4.009855354002758,1.233019487978876,-0.10101729704961501,-0.10582255030329801,2.994615779413373,1.057769667759948,-1.409520328102069,0.814092805822297,-0.18995164133966702,-0.458284417908273,-2.207509158036007,-0.94047573345969,-1.2967147922922782,-1.565659824506704,-1.3345155381287181,3.860902334273666,0.7159867764580481,0.39293739489238005,-0.015191552011315002,1.9892621966301631,-0.7267141538902341,-0.7741488915437491,-0.774149180414426,-0.216545013446606,-0.6929123694691101
O,-1.459513393040659,-1.39954086831737,1.1256963240381461,-0.286111325219072,-0.21715604063550803,-0.14140677897022502,-0.34043842258932905,0.031730944510817004,-1.269222032450279,2.710302398862313,2.427001756944369,1.6388320183662959,0.874708393585049,-0.083343061476984,-1.418060267955564,-1.417386960535449,-1.407128369911606,1.690221602874415,0.125109690226332,-1.459513393040659,-1.459253693948709,-1.458187849581826,-1.456600728439877,-1.454511302596749,-1.451985958772591,-1.4492077770720662,-1.446303039741733,-1.443291288471964,-1.440356854690136,-1.43754068487137,-1.434899246043512,-1.432449801694205,-1.430256143642933,-1.428289975309015,-1.426556922450967,-1.4250501064411911,-1.423757846913545,-1.422624538869965,-1.421702793730712,-1.4209113545229162,-1.4195810893905652,-1.418780604077448,-1.4184303351615801,-1.418106491262876,-1.417444335848657,-1.4167606540411,-1.415980298145054,-1.415005394584508,-1.414433200051123,-1.413842134401355,-1.412426493483741,-1.410817823915068,-1.408919758455131,-1.406836593525479,-1.405715015997362,-1.404575515812284,-1.4020785088503551,-1.399433747458772,-1.3922778382482601,-1.3839655976246301,-1.376329716510172,-1.368162815583665,-1.352096291285332,-1.337460261669337,-1.324827884205241,-1.314699439501315,-1.30720719783786,-1.3020393753616921,-1.2988273036677271,-1.2969665915886521,-1.295965530274066,-1.295219266205127,-1.2942333603522371,-1.292528183059584,-1.290125989376963,-1.271264406547744,-1.2489186619413801,-1.245599627517478,-1.24320991566319,-1.285026474979033,-1.262623654748213,-0.9459927127623341,-0.518958016590736,-0.43946662091784205,0.8243538672889491,-0.6223084040819731,-0.44780316079175003,-0.562411147848042,0.442745019776957,1.558516484753663,-0.8759960598723291,-0.680729363320218,-1.978714108474743,-2.150502722658224,-2.655531223751237,-3.018922640556113,-2.229095739052525,-2.057983963554132,-0.42397149045293403,-2.6989797768841353,-2.323122739324608,-1.938262701337895,-1.280734942827835,-0.445695216550038,-0.697951923125244,-1.2862503843421251,0.825343461276643,-0.6758708956918611,0.36679635942287103,0.21597068447796403,-0.5853715653882301,3.28520896668021,0.5471824687696251,-0.10101729706611401,0.20392489387484602,1.910384020131628,0.36780186683297,-0.877773961757193,0.301969542965835,-0.48763704940929603,-0.6450836518269161,-2.197180020582927,-0.950293559642098,-1.29368665856127,-1.5574720866613512,-1.343634488959984,2.339579582167849,-0.387839319459916,0.075837119446548,0.264185404571187,-0.322381909121542,0.169561255608651,-1.448137347336613,-1.4481381652001821,-0.216545013446606,-1.032090535573355
F,-1.424344395617992,-1.35926068749903,1.322693180744821,-0.28610395625149804,-0.217135748295012,-0.6363305053660151,-0.34043842258932905,-0.207471560263037,-1.2949506258644021,3.575349912192995,3.143480306153458,2.758650447062827,2.9187470947148153,-0.159853527073125,-1.61571204588289,-1.60375865760827,-1.574192490247787,2.6060208344883833,0.779598105289363,-1.424344395617992,-1.424020966032504,-1.422821307583293,-1.420980502271491,-1.418561481172206,-1.415669238401299,-1.4124193984030882,-1.40894060704265,-1.405400513631123,-1.401840814562331,-1.398414079961823,-1.395142153763692,-1.392080875010617,-1.389295793564423,-1.386721861327852,-1.384442512146216,-1.3824139248715182,-1.380665455847237,-1.379143743519996,-1.377823724466337,-1.37674671700233,-1.375035088238148,-1.374050226513068,-1.373737082031013,-1.373497563776212,-1.373198046225413,-1.373137701998013,-1.373168483352541,-1.373252808553913,-1.373236513347973,-1.37326780117273,-1.3732050199913521,-1.372981640660699,-1.3726539915308051,-1.372125016483092,-1.3718127275387482,-1.371504013627734,-1.370625787406671,-1.369628452008092,-1.36634756515878,-1.3617270374905042,-1.3573158151794331,-1.351881774668811,-1.339805476287806,-1.32743291750432,-1.315679901778204,-1.305268392935453,-1.296723775171989,-1.2901016163267691,-1.285196935748198,-1.281508009279709,-1.278680247251467,-1.27628686692004,-1.273739861149693,-1.270753448744901,-1.26740772009935,-1.246372433864578,-1.225168947904034,-1.224052308803109,-1.221015710013917,-1.270125027945815,-1.252428761527775,-1.511281041120315,-0.7282497269853551,-0.43946662091784205,0.15669536320368402,-0.6223084040819731,-0.44780316079175003,-0.435707027183425,0.442745019776957,2.090692845401256,-0.8759960598723291,-0.680729363320218,-2.184179830593265,-2.122647942481049,-2.579292155367577,-3.018922640556113,-2.3394884388063533,-2.109464030437671,-0.42397149045293403,-1.574231725136679,-2.572934588179396,-2.047054078618029,-1.406196782489099,-0.09644762230917801,-0.7552627801392451,-1.286205320768893,1.290279753961786,-0.7352335190728371,-0.030817382061428002,-0.12708424892317602,-0.69511394453769,2.560562579357663,-0.13865455043962502,-0.101017297082613,0.5136723380529901,0.826152260849884,-0.322165934094006,-0.34602759541231703,-0.210153719890626,-0.785322457478925,-0.831882885745559,-2.182285480309123,-0.9475901002585361,-1.294370430694079,-1.560787834648375,-1.345071414545517,0.8182568300620321,-1.22522463360458,-0.24126315599928402,0.54356236115369,0.38508102210897704,0.963119553303131,-1.364972354255734,-1.364972563732611,-0.216545013446606,-0.9960093446525321
Ne,-1.389175398195326,-1.343402521084501,1.519690037451497,-0.286079920134088,-0.21652697808012802,-1.131254231761806,-0.8383931302573031,-0.9250790745846,-0.980869098158291,1.13239165695357,3.884665012231824,3.9816100468235103,-1.9315586510582192,-0.23636399266926703,-1.794539844959994,-1.779167313676807,-1.7541076967636742,3.487130701268487,1.215923715331384,-1.389175398195326,-1.388823435646686,-1.387454765584761,-1.3854310213387921,-1.3826827068255771,-1.37942393734244,-1.375738798187242,-1.37179518750542,-1.367691905977016,-1.363581792814787,-1.359583608296625,-1.3556837063085099,-1.352013208973921,-1.3485634231709511,-1.3453838291583922,-1.3425216423299982,-1.339894983031185,-1.33757306478093,-1.335503531871769,-1.333743375067723,-1.332175406944721,-1.329700294893843,-1.328175090470737,-1.327586905979603,-1.327199560394421,-1.32678368841063,-1.326802442055873,-1.327123845436537,-1.3276316213317831,-1.327986911864998,-1.328308355920584,-1.329062408043204,-1.329869495597952,-1.330643152618466,-1.3313402223412831,-1.331669456181356,-1.331967807462036,-1.332468239728024,-1.332872294745218,-1.333233905605324,-1.348984281270398,-1.331300173155957,-1.329007584953726,-1.322436420363158,-1.313875948193216,-1.304615199223597,-1.295460104506958,-1.2871563797293502,-1.2800257096183931,-1.27415163760651,-1.269191415244941,-1.264878819721796,-1.260770840438276,-1.256712174312285,-1.2523164474273591,-1.247529234481439,-1.22250905509394,-1.20068470662842,-1.206290329862885,-1.208704861567835,-1.252429559593868,-1.238835570567191,-2.076569369478295,-0.9375414373799731,-0.43946662091784205,-0.51096314088158,-0.6223084040819731,-0.44780316079175003,-0.309002906518809,0.442745019776957,2.622869206048848,-0.8759960598723291,-0.680729363320218,-2.16135030591343,-2.039083601949524,-1.168869390269879,-1.840917421868303,-2.434110752881064,-2.140352070567794,-0.42397149045293403,-0.449483673389223,0.17499574922327701,-2.119581663471451,-1.23055020696333,0.252799971931681,-0.34859957132713004,-1.286339667601451,1.755216046646929,-0.794596142453812,-0.42843112354572804,-0.47013918232431706,-0.8048563236871501,1.835916192035116,-0.824491569648876,-0.101017297099113,0.8234197822311351,-0.25807949843186,-1.012133735020983,0.185718770932559,-0.7222769827470881,-1.083007865548554,-1.018682119664202,-1.975710788934156,-0.94189860681946,-1.301794242421711,-1.5976040709180932,-1.377059588734226,-0.703065922043784,-1.615370064058344,-0.558363431445116,0.8229393177361941,4.377757605571377,1.428061859319379,-1.002997585793773,-1.002998406236207,-0.216545013446606,-0.8203942535731771
